yyyymmdd,CS,FT,NE,SNE,SWF,SSWF,TYW,TC100,TC200,TC300,TC500,TC1000,NWPTY
20001128,0,0,1,1,0,0,0,0,0,0,0,0,1
20001129,0,0,0,0,0,0,0,0,0,0,0,0,1
20001130,0,0,0,0,0,0,0,0,0,0,0,0,1
20001201,0,1,1,1,0,0,0,0,0,0,0,0,1
20001202,0,0,1,0,0,0,0,0,0,0,0,0,1
20001203,0,1,1,1,0,0,0,0,0,0,0,0,1
20001204,0,0,1,1,0,0,0,0,0,0,0,0,1
20001205,0,0,1,1,0,0,0,0,0,0,0,0,1
20001206,0,0,1,1,0,0,0,0,0,0,0,0,1
20001207,0,0,1,1,0,0,0,0,0,0,0,0,1
20001208,0,0,1,0,0,0,0,0,0,0,0,0,1
20001209,0,0,0,0,0,0,0,0,0,0,0,0,0
20001210,0,0,1,1,0,0,0,0,0,0,0,0,0
20001211,0,0,1,1,0,0,0,0,0,0,0,0,0
20001212,0,0,1,1,0,0,0,0,0,0,0,0,0
20001213,0,1,1,1,0,0,0,0,0,0,0,0,0
20001214,0,0,1,1,0,0,0,0,0,0,0,0,0
20001215,0,0,0,0,0,0,0,0,0,0,0,0,0
20001216,0,0,0,0,0,0,0,0,0,0,0,0,0
20001217,0,1,1,1,0,0,0,0,0,0,0,0,0
20001218,0,1,1,1,0,0,0,0,0,0,0,0,0
20001219,0,1,1,1,0,0,0,0,0,0,0,0,0
20001220,0,1,0,0,0,0,0,0,0,0,0,0,0
20001221,0,1,1,1,0,0,0,0,0,0,0,0,0
20001222,0,0,1,1,0,0,0,0,0,0,0,0,0
20001223,0,0,1,1,0,0,0,0,0,0,0,0,0
20001224,0,0,0,0,0,0,0,0,0,0,0,0,0
20001225,0,0,1,1,0,0,0,0,0,0,0,0,0
20001226,0,0,0,0,0,0,0,0,0,0,0,0,0
20001227,0,0,0,0,0,0,0,0,0,0,0,0,0
20001228,0,0,1,1,0,0,0,0,0,0,0,0,1
20001229,0,0,1,1,0,0,0,0,0,0,0,0,1
20001230,0,1,0,0,0,0,0,0,0,0,0,0,1
20001231,0,0,0,0,0,0,0,0,0,0,0,0,1
20010101,0,0,0,0,0,0,0,0,0,0,0,0,1
20010102,0,0,0,0,0,0,0,0,0,0,0,0,1
20010103,0,0,1,1,0,0,0,0,0,0,0,0,1
20010104,0,0,1,1,0,0,0,0,0,0,0,0,1
20010105,0,0,0,0,0,0,0,0,0,0,0,0,1
20010106,0,0,0,0,0,0,0,0,0,0,0,0,0
20010107,0,1,1,0,0,0,0,0,0,0,0,0,0
20010108,0,0,0,0,0,0,0,0,0,0,0,0,0
20010109,0,1,0,0,0,0,0,0,0,0,0,0,0
20010110,0,0,1,0,0,0,0,0,0,0,0,0,0
20010111,0,0,1,1,0,0,0,0,0,0,0,0,0
20010112,0,0,0,0,0,0,0,0,0,0,0,0,0
20010113,0,0,0,0,0,0,0,0,0,0,0,0,0
20010114,0,0,1,1,0,0,0,0,0,0,0,0,0
20010115,0,0,1,1,0,0,0,0,0,0,0,0,0
20010116,0,0,1,0,0,0,0,0,0,0,0,0,0
20010117,0,0,0,0,0,0,0,0,0,0,0,0,0
20010118,0,0,0,0,0,0,0,0,0,0,0,0,0
20010119,0,0,0,0,0,0,0,0,0,0,0,0,0
20010120,0,1,1,0,0,0,0,0,0,0,0,0,0
20010121,0,0,0,0,0,0,0,0,0,0,0,0,0
20010122,0,0,0,0,0,0,0,0,0,0,0,0,0
20010123,0,1,0,0,0,0,0,0,0,0,0,0,0
20010124,0,0,0,0,0,0,0,0,0,0,0,0,0
20010125,0,1,1,0,0,0,0,0,0,0,0,0,0
20010126,0,1,0,0,0,0,0,0,0,0,0,0,0
20010127,0,0,1,1,0,0,0,0,0,0,0,0,0
20010128,0,0,1,1,0,0,0,0,0,0,0,0,0
20010129,0,0,1,1,0,0,0,0,0,0,0,0,0
20010130,0,0,1,1,0,0,0,0,0,0,0,0,0
